sedol,fqenddt,next_trading_date
302323,2012-06-30,2012-07-10
302323,2012-12-31,2013-03-06
302323,2013-06-30,2013-07-16
302323,2013-12-31,2014-03-06
302323,2014-06-30,2014-07-16
302323,2014-12-31,2015-03-12
302323,2015-06-30,2015-08-14
302323,2015-12-31,2016-03-11
302323,2016-06-30,2016-08-12
302323,2016-12-31,2017-03-09
302323,2017-06-30,2017-08-11
302323,2017-12-31,2018-03-08
302323,2018-06-30,2018-08-09
302323,2018-12-31,2019-03-07
302323,2019-06-30,2019-08-08
302323,2019-12-31,2020-03-06
306465,2016-12-31,2017-03-01
306465,2017-06-30,2017-07-27
306465,2017-12-31,2018-02-28
307572,2012-09-30,2012-11-14
307572,2013-03-31,2013-06-06
307572,2013-09-30,2013-11-13
307572,2014-03-31,2014-06-05
307572,2014-09-30,2014-11-05
309272,2012-08-31,2012-10-26
309272,2013-02-28,2013-05-01
309272,2014-02-28,2014-04-03
309272,2014-08-31,2014-10-22
309272,2015-02-28,2015-04-02
309272,2015-08-31,2015-10-21
309272,2016-02-29,2016-04-14
309272,2016-08-31,2016-10-19
309272,2017-02-28,2017-04-05
309272,2018-02-28,2018-04-12
309272,2018-08-31,2018-10-18
309272,2019-02-28,2019-04-11
309272,2019-08-31,2019-10-17
312748,2012-09-30,2012-11-07
312748,2013-03-31,2013-05-22
312748,2013-09-30,2013-11-06
312748,2014-03-31,2014-05-21
312748,2014-09-30,2014-11-06
312748,2015-03-31,2015-05-21
312748,2015-09-30,2015-11-05
312748,2016-03-31,2016-05-26
312748,2016-09-30,2016-11-09
312748,2017-03-31,2017-05-25
312748,2017-09-30,2017-11-09
312748,2018-03-31,2018-05-24
312748,2018-09-30,2018-11-08
312748,2019-03-31,2019-05-23
312748,2019-09-30,2019-11-07
313486,2013-06-30,2013-07-31
313486,2013-09-30,2013-10-31
314777,2018-02-28,2018-05-23
314777,2018-08-31,2018-11-07
314777,2019-02-28,2019-05-22
314777,2019-08-31,2019-11-06
315445,2012-06-30,2012-08-24
315445,2012-12-31,2013-03-29
315445,2013-06-30,2013-08-30
315445,2013-12-31,2014-04-30
315445,2014-06-30,2014-08-29
315445,2014-12-31,2015-05-01
315445,2015-06-30,2015-08-28
315445,2015-12-31,2016-04-29
315445,2016-06-30,2016-09-29
315445,2016-12-31,2017-04-27
315445,2018-06-30,2018-07-31
315445,2018-12-31,2019-04-25
315445,2019-06-30,2019-09-11
315445,2019-12-31,
316383,2012-06-30,2012-07-27
316383,2013-06-30,2013-07-30
316383,2013-12-31,2014-03-04
316383,2014-06-30,2014-08-05
316383,2014-12-31,2015-03-03
316383,2015-06-30,2015-08-04
316383,2015-12-31,2016-03-03
316383,2016-06-30,2016-08-02
316383,2016-12-31,2017-03-08
316383,2017-06-30,2017-08-02
316383,2017-12-31,2018-03-07
316383,2018-06-30,2018-08-08
316383,2018-12-31,2019-03-06
316383,2019-06-30,2019-08-02
317180,2012-09-30,2012-11-14
317430,2012-09-30,2012-11-08
317430,2013-03-31,2013-05-22
317430,2013-09-30,2013-11-15
317430,2014-03-31,2014-05-22
317430,2014-09-30,2014-10-15
317430,2015-03-31,2015-05-21
317430,2015-09-30,2015-11-13
317430,2016-03-31,2016-05-19
317430,2016-09-30,2016-11-10
317430,2017-03-31,2017-05-19
317430,2017-09-30,2017-11-10
317430,2018-03-31,2018-05-17
317430,2018-09-30,2018-11-09
317430,2019-03-31,2019-05-17
318521,2013-12-31,2015-03-16
320368,2019-03-31,2019-06-20
320368,2019-09-30,2020-01-01
320878,2016-12-31,2017-04-11
320878,2017-06-30,2017-09-26
320898,2015-07-31,2015-09-11
320898,2016-01-31,2016-03-25
320898,2016-07-31,2016-09-16
320898,2017-01-31,2017-03-24
320898,2017-07-31,2017-09-15
320898,2018-01-31,2018-03-26
320898,2018-07-31,2018-09-26
320898,2019-01-31,2019-03-22
320898,2019-07-31,2019-09-20
323506,2016-12-31,2017-02-16
323506,2017-06-30,2017-09-27
323601,2018-12-31,2019-04-15
323601,2019-06-30,2019-09-04
330329,2015-06-30,2015-09-23
330329,2015-12-31,2016-03-30
330329,2016-06-30,2016-09-21
330329,2016-12-31,2017-03-22
330329,2017-06-30,2017-09-27
330329,2017-12-31,2018-03-21
330577,2012-06-30,2012-07-24
330577,2012-12-31,2013-02-26
330577,2013-06-30,2013-07-23
330577,2013-12-31,2014-02-25
330577,2014-06-30,2014-07-22
330577,2014-12-31,2015-03-03
330577,2015-06-30,2015-07-28
330577,2015-12-31,2016-03-09
330577,2016-06-30,2016-08-03
330577,2017-06-30,2017-07-25
330577,2017-12-31,2018-02-27
330577,2018-06-30,2018-07-31
330577,2018-12-31,2019-02-26
330577,2019-06-30,2019-08-06
