gvkey,article_date
27914,2017-01-24
27914,2017-06-16
27914,2017-12-17
27914,2017-12-18
27914,2017-12-19
27914,2017-12-22
27914,2017-12-27
27914,2017-02-08
27914,2017-01-25
27914,2017-01-31
27914,2017-02-10
27914,2017-02-15
27914,2017-02-20
27914,2017-03-02
27914,2017-03-14
27914,2017-01-10
27914,2017-02-03
27914,2017-04-13
27914,2017-04-25
27914,2017-05-02
27914,2017-05-09
27914,2017-05-10
27914,2017-05-11
27914,2017-05-14
27914,2017-06-06
27914,2017-06-12
27914,2017-06-13
27914,2017-06-14
27914,2017-06-15
27914,2017-06-20
27914,2017-06-22
27914,2017-06-26
27914,2017-06-27
27914,2017-06-30
27914,2017-07-12
27914,2017-08-15
27914,2017-08-17
27914,2017-08-19
27914,2017-08-29
27914,2017-09-09
27914,2017-09-26
27914,2017-11-03
27914,2017-11-14
27914,2017-11-15
27914,2017-11-17
27914,2017-11-18
27914,2017-11-28
27914,2017-12-01
27914,2017-12-02
27914,2017-12-03
27914,2017-12-10
27914,2017-12-21
27914,2017-12-23
27914,2017-12-25
27914,2017-05-03
27914,2017-08-02
27914,2017-11-07
27914,2017-01-04
27914,2017-01-11
27914,2017-01-12
27914,2017-01-13
27914,2017-01-18
27914,2017-01-19
27914,2017-01-20
27914,2017-02-11
27914,2017-02-13
27914,2017-02-22
27914,2017-02-27
27914,2017-02-28
27914,2017-03-30
27914,2017-04-03
27914,2017-04-06
27914,2017-04-18
27914,2017-04-19
27914,2017-04-21
27914,2017-04-24
27914,2017-04-26
27914,2017-04-27
27914,2017-05-05
27914,2017-05-06
27914,2017-05-12
27914,2017-05-17
27914,2017-05-18
27914,2017-05-23
27914,2017-05-25
27914,2017-06-02
27914,2017-06-09
27914,2017-06-24
27914,2017-06-29
27914,2017-07-14
27914,2017-07-15
27914,2017-07-18
27914,2017-07-29
27914,2017-08-03
27914,2017-08-04
27914,2017-08-07
27914,2017-08-10
27914,2017-08-20
27914,2017-09-03
27914,2017-09-22
27914,2017-10-09
27914,2017-10-14
27914,2017-10-21
27914,2017-11-10
27914,2017-11-11
27914,2017-11-13
27914,2017-11-20
27914,2017-11-26
27914,2017-12-15
27914,2017-12-24
27914,2017-12-26
27914,2017-01-03
27914,2017-04-05
27914,2017-04-10
27914,2017-05-28
27914,2017-06-07
27914,2017-06-19
27914,2017-06-28
27914,2017-10-16
27914,2017-10-17
27914,2017-10-19
27914,2017-11-02
27914,2017-11-06
27914,2017-03-13
27914,2017-11-09
27914,2017-12-14
27914,2017-10-25
27914,2017-02-23
27914,2017-03-09
27914,2017-04-20
27914,2017-08-18
27914,2017-08-27
27914,2017-09-27
27914,2017-01-21
27914,2017-01-26
27914,2017-02-07
27914,2017-03-31
27914,2017-04-17
27914,2017-05-04
27914,2017-05-08
27914,2017-07-10
27914,2017-07-27
27914,2017-07-28
27914,2017-08-21
27914,2017-10-02
27914,2017-11-08
27914,2017-12-20
27914,2017-05-07
27914,2017-04-04
27914,2017-09-11
27914,2017-09-08
27914,2017-12-11
27914,2017-01-22
27914,2017-11-12
27914,2017-08-30
27914,2017-02-12
27914,2017-02-16
27914,2017-02-24
27914,2017-03-12
27914,2017-04-28
27914,2017-04-29
27914,2017-04-30
27914,2017-05-19
27914,2017-06-08
27914,2017-06-21
27914,2017-07-05
27914,2017-07-09
27914,2017-07-19
27914,2017-07-20
27914,2017-07-30
27914,2017-08-11
27914,2017-08-13
27914,2017-08-14
27914,2017-08-24
27914,2017-09-06
27914,2017-09-21
27914,2017-09-23
27914,2017-09-25
27914,2017-10-12
27914,2017-10-22
27914,2017-11-16
27914,2017-11-19
27914,2017-11-21
27914,2017-11-22
27914,2017-11-23
27914,2017-11-24
27914,2017-11-25
27914,2017-12-05
27914,2017-12-09
27914,2017-03-10
27914,2017-03-20
27914,2017-03-22
27914,2017-09-12
27914,2017-11-29
27914,2017-03-07
27914,2017-03-17
27914,2017-03-21
27914,2017-07-13
27914,2017-10-18
27914,2017-10-27
27914,2017-11-27
27914,2017-11-30
27914,2017-09-07
27914,2017-05-01
27914,2017-06-05
27914,2017-10-03
27914,2017-05-31
27914,2017-10-31
27914,2017-09-19
65399,2017-09-18
65399,2017-09-19
65399,2017-10-03
65399,2017-10-04
65399,2017-10-05
65399,2017-11-15
65399,2017-04-20
65399,2017-05-19
65399,2017-05-29
65399,2017-06-08
65399,2017-06-14
65399,2017-06-18
65399,2017-06-27
65399,2017-09-08
65399,2017-09-20
65399,2017-11-18
65399,2017-11-26
65399,2017-12-19
65399,2017-12-31
65399,2017-09-05
65399,2017-09-06
65399,2017-01-18
65399,2017-01-30
65399,2017-01-31
65399,2017-02-01
65399,2017-02-03
65399,2017-02-21
65399,2017-05-08
65399,2017-05-13
65399,2017-06-05
65399,2017-06-12
65399,2017-06-13
65399,2017-06-22
65399,2017-06-24
65399,2017-07-01
65399,2017-07-07
65399,2017-08-07
65399,2017-09-12
65399,2017-09-13
65399,2017-09-14
65399,2017-09-24
65399,2017-09-28
65399,2017-10-12
65399,2017-10-15
65399,2017-10-21
65399,2017-11-09
65399,2017-11-21
65399,2017-12-08
65399,2017-12-21
65399,2017-12-26
65399,2017-12-27
65399,2017-01-23
65399,2017-03-01
65399,2017-04-18
65399,2017-05-15
65399,2017-09-04
65399,2017-09-17
65399,2017-11-20
65399,2017-01-09
65399,2017-02-08
65399,2017-03-27
65399,2017-04-04
65399,2017-05-03
65399,2017-06-02
65399,2017-07-06
65399,2017-08-02
65399,2017-08-03
65399,2017-09-11
65399,2017-10-17
65399,2017-10-23
65399,2017-11-16
65399,2017-11-24
65399,2017-11-29
65399,2017-12-01
65399,2017-12-05
65399,2017-02-07
65399,2017-04-06
65399,2017-05-05
65399,2017-06-07
65399,2017-11-25
65399,2017-12-07
65399,2017-01-20
65399,2017-02-22
65399,2017-05-31
65399,2017-07-19
65399,2017-07-27
65399,2017-08-30
65399,2017-09-10
65399,2017-09-22
65399,2017-11-28
65399,2017-12-04
65399,2017-12-15
65399,2017-12-17
65399,2017-12-22
65399,2017-12-24
65399,2017-08-05
65399,2017-10-11
65399,2017-02-02
65399,2017-07-25
65399,2017-02-25
65399,2017-05-20
65399,2017-08-06
65399,2017-08-08
65399,2017-11-07
65399,2017-02-20
65399,2017-02-28
65399,2017-07-26
65399,2017-07-13
65399,2017-12-11
65399,2017-12-12
13323,2017-02-06
13323,2017-02-22
13323,2017-03-09
13323,2017-05-03
13323,2017-05-13
13323,2017-05-16
13323,2017-05-20
13323,2017-05-30
13323,2017-06-01
13323,2017-06-12
13323,2017-06-16
13323,2017-08-14
13323,2017-08-15
13323,2017-10-17
13323,2017-10-20
13323,2017-11-02
13323,2017-11-08
13323,2017-11-09
13323,2017-11-15
13323,2017-11-16
13323,2017-11-18
13323,2017-11-25
13323,2017-12-03
13323,2017-12-13
13323,2017-12-14
13323,2017-12-18
13323,2017-12-21
13323,2017-12-22
13323,2017-01-02
13323,2017-01-11
13323,2017-01-25
13323,2017-02-23
13323,2017-02-28
13323,2017-03-01
13323,2017-03-25
13323,2017-03-27
13323,2017-04-07
13323,2017-04-13
13323,2017-04-14
13323,2017-04-18
13323,2017-05-04
13323,2017-05-05
13323,2017-05-06
13323,2017-05-10
13323,2017-05-19
13323,2017-05-25
13323,2017-05-29
13323,2017-06-04
13323,2017-06-15
13323,2017-07-03
13323,2017-07-29
13323,2017-08-05
13323,2017-08-17
13323,2017-09-03
13323,2017-10-02
13323,2017-10-06
13323,2017-10-08
13323,2017-10-14
13323,2017-11-10
13323,2017-11-11
13323,2017-12-05
13323,2017-12-30
13323,2017-02-27
13323,2017-04-04
13323,2017-06-06
13323,2017-06-07
13323,2017-06-08
13323,2017-11-03
13323,2017-03-16
13323,2017-04-28
13323,2017-01-20
13323,2017-02-17
13323,2017-02-24
13323,2017-04-30
